"Number","Player","Team","GP","MIN","PTS","FGM","FGA","FG","3PM","3PA","3P","FTM","FTA","FT","ORB","DRB","REB","AST","STL","BLK","TOV","PF","Score","AVG","SearchKey"
"18","Norman Powell","LAC","7","232.5","174","63","124","0.508","27","60","0.45","21","25","0.84","2","16","18","13","8","2","12","9","181","26",
"19","Devin Booker","PHX","7","256","173","52","124","0.419","20","56","0.357","49","55","0.891","9","19","28","40","8","3","14","16","213","30",
"20","Gradey Dick","TOR","8","259.8","173","62","131","0.473","23","60","0.383","26","28","0.929","5","16","21","18","11","5","14","18","184","23",
"21","DeAaron Fox","SAC","7","261.8","169","62","128","0.484","14","47","0.298","31","36","0.861","8","29","37","39","15","0","29","22","187","27",
"22","Kyrie Irving","DAL","7","252.1","167","62","128","0.484","23","41","0.561","20","23","0.87","11","19","30","35","9","2","12","17","208","30",
"23","Darius Garland","CLE","8","231.5","164","62","118","0.525","26","58","0.448","14","14","1","5","11","16","52","8","3","19","24","194","24",
"24","Jalen Green","HOU","7","239.5","160","54","137","0.394","25","67","0.373","27","32","0.844","3","29","32","21","6","3","17","15","179","26",
"25","Dennis Schroder","BRK","8","277.5","159","55","109","0.505","25","51","0.49","24","28","0.857","1","23","24","58","11","0","21","24","199","25",
"26","Jaden Ivey","DET","8","257.1","157","56","120","0.467","16","41","0.39","29","38","0.763","11","25","36","29","8","2","24","21","174","22",
"27","Jalen Brunson","NYK","6","201.5","156","56","121","0.463","15","30","0.5","29","35","0.829","3","12","15","36","3","0","10","10","187","31",
"28","Anfernee Simons","POR","8","272.7","156","52","135","0.385","21","66","0.318","31","34","0.912","2","19","21","41","7","1","21","10","176","22",
"29","Jaylen Brown","BOS","6","216","154","52","130","0.4","12","45","0.267","38","47","0.809","10","33","43","23","9","3","13","15","194","32",
"30","LeBron James","LAL","7","244.1","153","54","111","0.486","16","36","0.444","29","37","0.784","2","46","48","54","4","3","18","12","219","31",
"31","Buddy Hield","GSW","7","180","153","54","105","0.514","33","66","0.5","12","14","0.857","5","25","30","17","8","4","8","13","184","26",
"32","Nikola Vucevic","CHI","7","232.5","152","57","104","0.548","16","33","0.485","22","23","0.957","19","57","76","26","3","7","10","17","234","33",
"33","Derrick White","BOS","8","264.1","152","52","109","0.477","29","70","0.414","19","21","0.905","7","28","35","33","8","9","10","19","200","25",
"34","Julius Randle","MIN","7","231.6","150","54","94","0.574","13","28","0.464","29","38","0.763","13","32","45","33","5","0","19","19","190","27",
"35","James Harden","LAC","7","246.4","148","45","118","0.381","18","61","0.295","40","48","0.833","6","55","61","69","11","9","35","18","208","30",
"36","Jalen Johnson","ATL","8","290.8","147","54","125","0.432","8","35","0.229","31","46","0.674","17","63","80","41","14","7","31","22","206","26",
"37","Jerami Grant","POR","8","268.3","146","50","133","0.376","22","65","0.338","24","29","0.828","4","33","37","17","8","12","14","15","172","22",
"38","Domantas Sabonis","SAC","7","258.7","145","52","86","0.605","8","16","0.5","33","40","0.825","22","72","94","45","4","2","21","29","242","35",
"39","Ja Morant","MEM","7","198.5","145","49","108","0.454","6","28","0.214","41","49","0.837","4","32","36","68","4","1","29","12","191","27",
"40","Paolo Banchero","ORL","5","182.2","145","48","97","0.495","11","32","0.344","38","59","0.644","12","32","44","28","3","4","11","13","195","39",
"41","Coby White","CHI","7","236.9","144","49","108","0.454","27","65","0.415","19","24","0.792","2","28","30","32","9","1","18","17","170","24",
"42","Pascal Siakam","IND","7","234.1","142","58","104","0.558","14","31","0.452","12","18","0.667","14","35","49","36","5","2","10","17","207","30",
"43","Evan Mobley","CLE","8","238.7","141","57","106","0.538","6","15","0.4","21","25","0.84","10","55","65","22","7","14","15","22","198","25",
"44","Jalen Suggs","ORL","8","235","141","47","106","0.443","20","56","0.357","27","30","0.9","3","40","43","35","15","8","17","18","185","23",
"45","Franz Wagner","ORL","8","219.2","141","55","115","0.478","13","36","0.361","18","22","0.818","10","29","39","31","12","2","20","18","171","21",
"46","Zach LaVine","CHI","6","208.5","136","46","93","0.495","22","48","0.458","22","27","0.815","2","31","33","16","5","3","22","8","141","24",
"47","Jordan Poole","WAS","6","186","135","44","98","0.449","24","53","0.453","23","25","0.92","2","5","7","30","17","7","18","19","136","23",
"48","Cameron Johnson","BRK","8","268.9","133","46","101","0.455","24","66","0.364","17","21","0.81","3","28","31","24","6","4","3","21","182","23",
"49","Victor Wembanyama","SAS","7","219.8","132","47","111","0.423","11","50","0.22","27","29","0.931","14","58","72","22","9","27","23","17","180","26",
