"Number","Player","Team","GP","MIN","PTS","FGM","FGA","FG","3PM","3PA","3P","FTM","FTA","FT","ORB","DRB","REB","AST","STL","BLK","TOV","PF","Score","AVG","SearchKey"
"336","Duop Reath","POR","3","8.9","3","1","4","0.25","1","2","0.5","0","0","0","1","1","2","2","0","1","1","0","5","2",
"337","Gui Santos","GSW","4","15.1","3","1","2","0.5","0","1","0","1","2","0.5","0","4","4","2","0","0","2","3","5","1",
"338","Jaylen Martin","BRK","2","3.1","3","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","3","2",
"339","Cory Joseph","ORL","2","10.2","3","1","3","0.333","1","2","0.5","0","0","0","0","0","0","1","0","0","0","0","4","2",
"340","Collin Gillespie","PHX","1","3.5","3","1","2","0.5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","3","3",
"341","DJ Carton","TOR","3","28.1","3","1","7","0.143","0","3","0","1","1","1","0","4","4","3","2","0","4","1","2","1",
"342","Pacome Dadiet","NYK","2","17.8","3","1","4","0.25","1","2","0.5","0","0","0","0","2","2","0","0","0","1","2","3","2",
"343","Dru Smith","MIA","3","25.5","2","1","5","0.2","0","1","0","0","0","0","2","4","6","2","0","4","1","3","8","3",
"344","Marcus Sasser","DET","2","4.6","2","1","1","1","0","0","0","0","0","0","1","1","2","2","0","0","0","0","6","3",
"345","Quenton Jackson","IND","1","4.4","2","0","1","0","0","1","0","2","2","1","1","0","1","2","1","0","0","1","5","5",
"346","Reece Beekman","GSW","2","4.1","2","1","1","1","0","0","0","0","0","0","1","0","1","1","1","0","0","1","4","2",
"347","Karlo Matkovic","NOP","2","4.7","2","1","1","1","0","0","0","0","0","0","3","1","4","0","0","1","2","1","2","1",
"348","Oso Ighodaro","PHX","3","25.6","2","1","2","0.5","0","0","0","0","0","0","2","6","8","0","0","1","2","5","6","2",
"349","Bronny James","LAL","2","8","2","1","4","0.25","0","2","0","0","0","0","1","0","1","2","1","0","0","0","5","2",
"350","Garrett Temple","TOR","2","8.7","2","1","2","0.5","0","1","0","0","0","0","0","0","0","2","1","0","0","2","4","2",
"351","Damion Lee","PHX","1","17.7","2","1","3","0.333","0","2","0","0","0","0","0","3","3","2","0","0","1","1","5","5",
"352","Trey Jemison","NOP","1","1.4","2","1","2","0.5","0","0","0","0","0","0","2","0","2","0","0","0","0","0","4","4",
"353","James Johnson","IND","1","3.8","2","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","1",
"354","Adem Bona","PHI","3","6.8","2","1","1","1","0","0","0","0","0","0","1","0","1","0","0","1","0","2","3","1",
"355","Alex Reese","OKC","1","1.9","2","1","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","3","3",
"356","Pelle Larsson","MIA","1","6.3","2","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","2",
"357","Ulrich Chomche","TOR","1","4.5","2","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","3","3",
"358","Dwight Powell","DAL","3","3.8","2","1","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","3","1",
"359","Anthony Gill","WAS","2","3.2","2","1","2","0.5","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0",
"360","Talen Horton-Tucker","CHI","3","13.1","2","0","1","0","0","0","0","2","4","0.5","1","3","4","1","0","0","3","0","1","0",
"361","AJ Johnson","MIL","3","6.4","2","1","3","0.333","0","0","0","0","0","0","0","1","1","0","0","0","0","0","3","1",
"362","Mouhamed Gueye","ATL","1","3.1","2","1","2","0.5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","2",
"363","Jordan Walsh","BOS","4","36.9","2","1","7","0.143","0","5","0","0","0","0","1","3","4","1","0","1","0","3","7","2",
"364","Ryan Rollins","MIL","3","5.7","2","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","2","2","1",
"365","Johnny Davis","WAS","3","16.2","2","1","4","0.25","0","1","0","0","0","0","1","0","1","1","0","0","0","2","4","1",
"366","BJ Boston Jr","NOP","2","13","1","0","3","0","0","1","0","1","2","0.5","0","3","3","3","2","0","1","0","5","2",
"367","Jaden Springer","BOS","2","7.4","1","0","1","0","0","0","0","1","2","0.5","2","1","3","1","0","0","1","0","3","2",
"368","Cui Yongxi","BRK","2","3.1","1","0","0","0","0","0","0","1","2","0.5","0","0","0","0","0","0","0","0","1","0",
"369","Ariel Hukporti","NYK","3","23.7","0","0","1","0","0","0","0","0","0","0","0","7","7","0","0","4","2","2","3","1",
"370","Joe Ingles","MIN","4","21.5","0","0","2","0","0","2","0","0","0","0","1","0","1","7","0","0","0","5","8","2",
"371","Charles Bassey","SAS","1","6","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","2","2",
"372","Mac McClung","ORL","1","4.9","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","0","0","3","3",
"373","Drew Peterson","BOS","2","5.7","0","0","1","0","0","1","0","0","0","0","0","1","1","0","1","2","1","0","-1","0",
"374","Sidy Cissoko","SAS","1","2.8","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","2","2",
"375","Jaesean Tate","HOU","1","2.2","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","2","2",
"376","Jevon Carter","CHI","1","4.4","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","1",
